,Page_URL,Hotel,Category,Rating,Address,Contact,Price,Amenities,Image_URL,Location
349,"https://www.google.com/maps/place/Tropico+Bali/@-8.8114207,115.1374227,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd244a559860f4b:0x678b0a5ec6a67ae0!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.8042154!4d115.1780319!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F11c5z6dxll?hl=en&entry=ttu",Tropico Bali,3-star hotel,4.4,"
Jl. Goa Gong No.123, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","
(0361) 4468906",Rp 254.810, Free Wi-Fi Breakfast Free parking Accessible Outdoor pool Air-conditioned Laundry service Pet-friendly Kid-friendly Restaurant Airport shuttle Fitness center,https://lh5.googleusercontent.com/p/AF1QipOsPLkIcrtforAeGdEJCHL4FJ7d3eGQk48YSWy2=w408-h408-k-no,Near Garuda Wisnu Kencana
350,"https://www.google.com/maps/place/Le+Grande+Hotel+Bali/@-8.8067447,115.0924199,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd245256946d2f3:0x1d867118fb076aed!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.8067447!4d115.1305287!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F1ptxpqwzb?hl=en&entry=ttu",Le Grande Hotel Bali,5-star hotel,4.1,"
Indah Resort, Pecatu, Jalan Raya Uluwatu Blok 5, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","
(0361) 8481388",Rp 505.636, Free Wi-Fi Free breakfast Free parking Accessible Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Kitchens in some rooms Airport shuttle Hot tub Spa Fitness center Smoke-free,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF20t7XzgYWlkz8Wx3RQFbD23emh04E2cWLofb3-phZbdNuEngha7J1rAiAj62me4MsxZXvt9OrsGUTp1MBaa8mQ5QTsN-WYkdRUlLyyzFxEG4IDosncCwibB3w3pSz-zZtce5-cO-loJuasajwkLOMZb-FDKN_4HFVzQ-OgQchwIOMat7KpPDtbA=w408-h272-k-no,Near Garuda Wisnu Kencana
351,"https://www.google.com/maps/place/Pandawa+Hill+Resort/@-8.8368833,115.1433967,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd25b671e4338d5:0xeca32c3ec5bf6ea4!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.8368833!4d115.1815055!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F11dfljx_zg?hl=en&entry=ttu",Pandawa Hill Resort,4-star hotel,4.4,"
Jl. Pantai Pandawa No.15, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","
(0361) 4469499",Rp 366.729, Free Wi-Fi Breakfast Free parking Accessible Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Airport shuttle Spa Smoke-free,https://lh5.googleusercontent.com/p/AF1QipO2LQqaD7n9gkC-NlKtfqO_2a55cJIZ33AZtWI5=w408-h272-k-no,Near Garuda Wisnu Kencana
352,"https://www.google.com/maps/place/Royal+Tulip+Springhill+Resort+Jimbaran/@-8.8018893,115.1213296,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd245bd2e952675:0x26aa83a429770fdb!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.7925717!4d115.1448632!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F11c6v_fn90?hl=en&entry=ttu",Royal Tulip Springhill Resort Jimbaran,5-star hotel,4.5,"
Jl. Jimbaran Hijau Kelod, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","
(0361) 6205888",Rp 1.155.124, Free Wi-Fi Breakfast Free parking Accessible Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Kitchens in some rooms Airport shuttle Spa Fitness center Bar,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGpE5gJftauA9PuS1yIvuW-Tx3B3xFFCC8SV21c9yfWpiAY82R1dkkxC-RSyopC4IPbBcZcZBi31imWi5t3F4tBgfpIQvKvjqnZZXsoHk3DFoUtHO2Lzuk0-KezW4UqaTfx4BB0w418KSrf93cw-xUEMndqHaefxQ-kvRgVMKRSZvZOMnjIbcx_rw=w408-h279-k-no,Near Garuda Wisnu Kencana
353,"https://www.google.com/maps/place/Zuri+Express+Jimbaran/@-8.8018893,115.1213296,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd2448e52e182d3:0x9d4fb4f80500f785!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.7823974!4d115.1740347!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F11f54s3bxc?hl=en&entry=ttu",Zuri Express Jimbaran,3-star hotel,4.6,"
Jl. Uluwatu II No.88X, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","
(0361) 4463666",Rp 34.120, Free Wi-Fi Free breakfast Free parking Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Airport shuttle Fitness center,https://lh5.googleusercontent.com/p/AF1QipMlpdwxJnlzEFL9gp4k8SdWNTZsAGXygpsu02YS=w408-h408-k-no,Near Garuda Wisnu Kencana
354,"https://www.google.com/maps/place/Lumbini+Villas+and+Spa/@-8.7748219,115.1342258,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd24489e2aba551:0x96284a063749f567!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.7748219!4d115.1723346!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F12hvhdz2x?hl=en&entry=ttu",Lumbini Villas and Spa,5-star hotel,4.4,"
Uluwatu St No.38, Jimbaran, South Kuta, Badung Regency, Bali 80361","
(0361) 704338",Rp 1.405.273, Free Wi-Fi Free breakfast Free parking Accessible Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Kitchen in all rooms Airport shuttle Spa Fitness center Bar,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGWld0esIhMQyk_w9seVWMSqakHnGRvcgnEFpjmsDYdRA1rFB6JzwR1BqNULXKI1Jqhdcb1_iaMc626fqVTEZqRD52gmtW_r6x11nDn1SjbPn-d5SPlKCBkgCTrld3XS9hN9Fg7lnYLv8C9kmIsB_E9zBivA2wQqCmHc59KsRD2SD9ZT3NI3j1x=w408-h271-k-no,Near Garuda Wisnu Kencana
355,"https://www.google.com/maps/place/The+Astari+Villa+%26+Residence/@-8.8056893,115.1208124,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd244ef32ad0ce9:0x1d2b7fddf64f2cad!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.790952!4d115.155526!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F1ptxxdtnf?hl=en&entry=ttu",The Astari Villa & Residence,3-star hotel,4.5,"
Jl. Karangmas Sejahtera Gang Kencana Selatan No. 1, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80362","
(0361) 8952197",Rp 585.323, Free Wi-Fi Breakfast Free parking Pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Airport shuttle Spa Fitness center,https://lh5.googleusercontent.com/p/AF1QipOe7siPFzr7X-sn47JQiZq4bNr4kmcAoRiK0dyO=w408-h272-k-no,Near Garuda Wisnu Kencana
356,"https://www.google.com/maps/place/The+Leaf+Jimbaran/@-8.8056893,115.1208124,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd244dda36733e3:0x806fbe8d51cb5b9c!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.7981193!4d115.1498791!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBXZpbGxh4AEA!16s%2Fg%2F11ckr7wjrp?hl=en&entry=ttu",The Leaf Jimbaran,5-star hotel,4.3,"
Karang-Mas, Sejahtera Jl. Jepun No.81, Jimbaran, Badung Regency, Bali 80361","
(0361) 4725445",Rp 887.091, Free Wi-Fi Free breakfast Free parking Outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Kitchen in all rooms Airport shuttle Spa Fitness center,https://lh5.googleusercontent.com/p/AF1QipNnzNgMiteiufHllzEEgjoCES7MY_MHgUpqI7ls=w408-h276-k-no,Near Garuda Wisnu Kencana
357,"https://www.google.com/maps/place/The+Sintesa+Jimbaran/@-8.8056893,115.1208124,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd244e9560817c9:0x9e2e4740974cbd65!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.790739!4d115.158998!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F11bw6tcrlq?hl=en&entry=ttu",The Sintesa Jimbaran,5-star hotel,4.3,"
Jl. Kencana No.1, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","
(0361) 4725333",Rp 323.979, Free Wi-Fi Breakfast Free parking Accessible Indoor and outdoor pool Air-conditioned Laundry service Pet-friendly Room service Kid-friendly Restaurant Kitchens in some rooms Airport shuttle Hot tub Spa Fitness center Bar,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEF9B1sGopvss1XgWql5CThKqxw0wTgZ-6pvWKFmQtBaVop0SvhO0FU7Tjl40E8srRhAEPo_zZvwR1KU_8DVkUeoJaPAuvS4xmrzEoogQiWtOaLR3Xyt9MFHuyRluxTBuLEXwUK3jts1Rq-nshMxjlD7y82ymrH3Eo6cfHMb5ypfAaYG0sjIcdO=w408-h306-k-no,Near Garuda Wisnu Kencana
358,"https://www.google.com/maps/place/The+Sintesa+Jimbaran/@-8.8056893,115.1208124,14z/data=!4m18!1m6!2m5!1shotels+near+garuda+wisnu+kencana!5m2!5m1!1s2024-05-31!6e3!3m10!1s0x2dd244e9560817c9:0x9e2e4740974cbd65!5m3!1s2024-05-31!4m1!1i2!8m2!3d-8.790739!4d115.158998!15sCiBob3RlbHMgbmVhciBnYXJ1ZGEgd2lzbnUga2VuY2FuYZIBBWhvdGVs4AEA!16s%2Fg%2F11bw6tcrlq?hl=en&entry=ttu",The Xotic Bali,3-star hotel,4.5,"
Jl. Bukit Sari, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","
(0361) 4491906",Rp 48.605, Free Wi-Fi Breakfast Parking Pool Air-conditioned Laundry service Pet-friendly Kid-friendly Restaurant Airport shuttle Fitness center Smoke-free,https://lh5.googleusercontent.com/p/AF1QipNCrks9iNeBgVGB3FKQwo5bCbNcBNj_OsTUuN3n=w408-h271-k-no,Near Garuda Wisnu Kencana
